City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
578,Oistins,BB,86.0,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
579,Tosham,IN,83.64,scattered clouds,28.8833,75.9167,Amrit home's
583,Kimbe,PG,76.77,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
586,Neuquen,AR,82.4,clear sky,-38.9516,-68.0591,Hotel del Comahue
593,Kirakira,SB,79.39,overcast clouds,-10.4544,161.9205,SanBiz Lodge
595,Tecoanapa,MX,85.21,clear sky,16.5167,-98.75,Hotel Manglares
602,Hambantota,LK,79.99,overcast clouds,6.1241,81.1185,Bungalow 63
612,Mitzic,GA,78.04,overcast clouds,0.7821,11.549000000000001,Motel Emys
615,Bandar-E Lengeh,IR,78.51,scattered clouds,26.5579,54.8807,کافی نت پارس
620,Sao Jose Da Coroa Grande,BR,83.73,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
621,Tucuman,AR,78.8,broken clouds,-26.8241,-65.2226,HOTEL MIAMI
623,Noumea,NC,77.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
630,Gualeguay,AR,81.14,clear sky,-33.1416,-59.3097,Cabañas Nuestro Refugio
632,Manoharpur,IN,80.6,haze,27.3,75.95,कैथल हरियाणा होटल
634,Linhares,BR,84.88,broken clouds,-19.3911,-40.0722,Hotel Conceição
636,Lat Yao,TH,78.01,overcast clouds,15.751,99.7893,ห้างหุ้นส่วนจำกัด ลาดยาวการเกษตร
637,Coari,BR,84.85,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
639,Pemangkat,ID,78.12,scattered clouds,1.1667,108.9667,Kost H.Syamsuddin
648,Catalina,US,84.99,clear sky,32.5056,-110.9211,Miraval Arizona Resort & Spa
650,Caucaia,BR,87.8,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
653,Mangrol,IN,79.43,clear sky,21.1167,70.1167,Hotel The Royal Honours
654,Canon City,US,75.2,clear sky,38.441,-105.2424,Travel Inn Motel
657,Male,MV,84.2,few clouds,4.1748,73.5089,Hotel Octave Maldives
659,El Alto,PE,89.6,clear sky,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
662,Moerai,PF,78.4,broken clouds,-22.4333,-151.3333,Le Manotel
665,Amli,IN,78.71,clear sky,20.2833,73.0167,Hotel Soubhagya Inn
667,Porto Novo,BJ,87.8,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
668,Las Vegas,US,79.0,clear sky,36.175,-115.1372,Plaza Hotel & Casino
669,Huarmey,PE,76.21,broken clouds,-10.0681,-78.1522,Hotel Miramar
678,Dingle,PH,75.65,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
680,Santa Maria,BR,82.4,few clouds,-29.6842,-53.8069,Hotel Morotin
683,Senador Jose Porfirio,BR,84.81,broken clouds,-2.5908,-51.9542,Pousada Novo Horizonte
685,Pedro Ii,BR,80.15,overcast clouds,-4.4247,-41.4586,Opala Hotel Pedro II
686,Port Moresby,PG,78.8,broken clouds,-9.4431,147.1797,Lamana Hotel
695,Bathsheba,BB,86.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
697,Nicoya,CR,89.6,clear sky,10.1483,-85.45200000000001,Guayacan Real
698,Auki,SB,78.1,overcast clouds,-8.7676,160.7034,Auki Motel
701,Loanda,AO,82.4,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
704,Paita,PE,89.6,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
709,Tamandare,BR,83.89,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
710,Sabang,ID,82.65,light rain,5.8933,95.3214,Hotel Citra
712,Bodden Town,KY,80.6,broken clouds,19.2833,-81.25,Will T Place
715,Cacapava Do Sul,BR,80.26,scattered clouds,-30.5122,-53.4914,Hotel Portal
717,Sadiqabad,PK,89.17,scattered clouds,28.3062,70.1307,MIDWAY HOTEL & RESTAURANT
