City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Tuatapere,NZ,-46.1333,167.6833,57.0,76,54,11.99,broken clouds
202,Lensk,RU,60.7253,114.9278,6.51,94,100,7.49,light snow
203,Chokurdakh,RU,70.6333,147.9167,-27.72,100,23,4.61,few clouds
204,Ancud,CL,-41.8697,-73.8203,68.0,59,0,8.05,clear sky
205,Faanui,PF,-16.4833,-151.75,81.07,77,25,9.64,light rain
206,Esperance,AU,-33.8667,121.9,62.6,88,16,12.66,few clouds
207,Rabat,MA,33.9911,-6.8401,64.99,68,40,8.05,scattered clouds
208,Kavaratti,IN,10.5669,72.642,82.92,68,56,12.26,broken clouds
209,Rawson,AR,-43.3002,-65.1023,83.59,25,23,21.03,few clouds
210,Moroni,KM,-11.7022,43.2551,81.3,78,99,3.87,overcast clouds
211,Samana,DO,19.2056,-69.3369,77.0,88,75,4.61,broken clouds
212,Surman,LY,32.7567,12.5716,65.39,70,100,16.89,overcast clouds
213,Bonoua,CI,5.2741,-3.595,87.8,79,20,12.66,few clouds
214,Arraial Do Cabo,BR,-22.9661,-42.0278,84.2,57,40,12.66,scattered clouds
215,Kaitangata,NZ,-46.2817,169.8464,63.0,48,37,13.0,scattered clouds
216,East London,ZA,-33.0153,27.9116,64.4,77,0,4.61,clear sky
217,Alice Springs,AU,-23.7,133.8833,59.0,72,0,5.86,haze
218,Durham,US,36.0335,-78.8664,71.01,23,1,6.91,clear sky
219,Narsaq,GL,60.9167,-46.05,39.2,87,90,9.22,overcast clouds
220,Lagos,NG,6.5833,3.75,87.8,70,20,6.91,few clouds
221,Poum,NC,-20.2333,164.0167,78.87,79,100,22.41,overcast clouds
222,Broome,US,42.2506,-75.833,55.99,35,40,12.66,scattered clouds
223,Buchanan,LR,5.8808,-10.0467,87.8,74,75,8.05,broken clouds
224,Grindavik,IS,63.8424,-22.4338,21.2,58,75,19.57,broken clouds
225,Darhan,MN,49.4867,105.9228,40.3,35,25,7.29,scattered clouds
226,Porosozero,RU,62.7191,32.727,34.57,97,100,10.33,overcast clouds
227,Chuy,UY,-33.6971,-53.4616,75.96,64,18,10.87,few clouds
228,Cherskiy,RU,68.75,161.3,-15.7,100,96,3.11,overcast clouds
229,Grand Gaube,MU,-20.0064,57.6608,81.0,75,3,7.0,clear sky
230,Namibe,AO,-15.1961,12.1522,78.94,85,100,13.58,overcast clouds
231,Domanivka,UA,47.6319,30.9885,45.3,72,100,0.94,overcast clouds
232,Pangnirtung,CA,66.1451,-65.7125,12.2,57,75,9.22,snow
233,Dhuwaran,IN,22.2333,72.8,82.98,57,0,11.16,clear sky
234,Moree,AU,-29.4667,149.85,64.4,82,64,9.22,broken clouds
235,Sept-Iles,CA,50.2001,-66.3821,39.2,41,90,8.05,overcast clouds
236,Cap Malheureux,MU,-19.9842,57.6142,81.0,75,3,7.0,clear sky
237,Urusha,RU,54.05,122.9,24.96,95,100,2.15,overcast clouds
238,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.2,54,40,16.11,scattered clouds
239,Houma,US,29.5958,-90.7195,72.0,37,1,12.66,clear sky
240,Axim,GH,4.8699,-2.2405,83.79,72,33,8.77,scattered clouds
241,Brae,GB,60.3964,-1.353,30.2,100,40,25.32,light snow
242,Talcahuano,CL,-36.7167,-73.1167,57.2,82,90,11.5,overcast clouds
243,Kurmanayevka,RU,52.5093,52.0675,34.2,87,100,13.49,overcast clouds
244,Vysokogornyy,RU,50.1167,139.15,9.7,92,5,2.08,clear sky
245,Nikolskoye,RU,59.7035,30.7861,42.01,70,20,8.95,few clouds
246,Christchurch,NZ,-43.5333,172.6333,69.8,37,100,5.75,overcast clouds
247,Visby,SE,57.6409,18.296,44.6,70,8,24.16,clear sky
248,Cidreira,BR,-30.1811,-50.2056,75.15,68,5,14.65,clear sky
249,Parsabad,IR,39.6482,47.9174,56.34,65,1,7.72,clear sky
250,Chapais,CA,49.7834,-74.8492,41.0,52,90,3.44,overcast clouds
251,Bilma,NE,18.6853,12.9164,86.18,6,0,6.15,clear sky
252,Hamilton,US,39.1834,-84.5333,68.0,34,1,3.44,clear sky
253,Sibolga,ID,1.7427,98.7792,77.41,90,96,1.25,overcast clouds
254,Korcula,HR,42.9622,17.1369,50.0,40,20,17.27,few clouds
255,Carutapera,BR,-1.195,-46.02,84.02,72,90,9.13,overcast clouds
256,Fengrun,CN,39.8333,118.1167,46.0,44,10,4.0,clear sky
257,Te Anau,NZ,-45.4167,167.7167,54.48,75,30,11.65,scattered clouds
258,Deogarh,IN,21.5333,84.7333,71.58,64,19,3.65,few clouds
259,Yulara,AU,-25.2406,130.9889,66.2,39,0,5.75,clear sky
260,Port Hardy,CA,50.6996,-127.4199,42.8,70,40,11.5,scattered clouds
261,Pak Phanang,TH,8.3511,100.202,81.32,77,99,1.81,light rain
262,Kemijarvi,FI,66.7131,27.4306,34.5,96,100,11.18,overcast clouds
263,Komsomolskiy,UZ,40.4272,71.7189,48.2,87,75,4.61,mist
264,Ribeira Grande,PT,38.5167,-28.7,62.6,88,75,20.71,broken clouds
265,Victoria,HK,22.2855,114.1577,73.0,91,96,1.99,overcast clouds
266,Flinders,AU,-34.5833,150.8552,64.0,88,1,1.01,clear sky
267,Meulaboh,ID,4.1363,96.1285,77.43,87,100,2.3,overcast clouds
268,Kismayo,SO,-0.3582,42.5454,82.78,79,85,9.91,overcast clouds
269,Avarua,CK,-21.2078,-159.775,80.6,83,75,11.5,broken clouds
270,Puliyur,IN,10.6333,78.8333,87.8,70,40,4.61,haze
271,Corinto,GR,37.9407,22.9573,62.01,59,66,1.01,broken clouds
272,Saldanha,ZA,-33.0117,17.9442,73.4,68,62,16.11,broken clouds
273,Kermanshah,IR,34.3142,47.065,53.6,30,0,18.41,clear sky
274,Mayo,US,38.8876,-76.5119,66.2,36,1,12.66,clear sky
275,Yangambi,CD,0.8102,24.4336,78.1,69,90,2.08,overcast clouds
276,Arlit,NE,18.7369,7.3853,90.88,4,1,4.34,clear sky
277,Ninghai,CN,29.2892,121.4247,52.0,53,0,8.95,clear sky
278,Rosetta,EG,31.4044,30.4164,75.2,25,0,4.61,clear sky
279,Trat,TH,12.5,102.5,79.0,99,100,1.21,overcast clouds
280,Songjianghe,CN,42.1859,127.479,29.25,50,0,4.7,clear sky
281,Dorado,PR,18.4588,-66.2677,84.99,69,40,11.5,scattered clouds
282,Nurota,UZ,40.5614,65.6886,48.2,71,89,9.22,overcast clouds
283,Marfino,RU,55.7028,37.3822,39.2,65,0,4.47,clear sky
284,Mungwi,ZM,-10.1732,31.3694,64.08,94,63,3.67,broken clouds
285,Tromso,NO,69.6496,18.957,30.99,80,75,6.91,broken clouds
286,Port Lincoln,AU,-34.7333,135.8667,62.74,83,0,12.1,clear sky
287,Bandarbeyla,SO,9.4942,50.8122,80.35,75,21,9.8,few clouds
288,Qasigiannguit,GL,68.8193,-51.1922,19.4,53,40,9.22,scattered clouds
289,Nyagan,RU,62.1406,65.3936,32.52,98,100,4.76,overcast clouds
290,Cobija,BO,-11.0267,-68.7692,82.4,78,75,3.44,broken clouds
291,Bereznik,RU,62.8551,42.7072,31.55,89,95,7.54,overcast clouds
292,Ixtapa,MX,20.7,-105.2,84.2,48,1,8.05,clear sky
293,Dalnegorsk,RU,44.5604,135.5701,28.87,69,1,5.01,clear sky
294,Odienne,CI,9.51,-7.5692,101.48,13,25,2.3,scattered clouds
295,Beringovskiy,RU,63.05,179.3167,-12.53,97,22,6.38,few clouds
296,Watertown,US,42.3709,-71.1828,55.99,18,1,10.36,clear sky
297,Aljezur,PT,37.3191,-8.8033,64.58,65,2,9.53,clear sky
298,Ponta Do Sol,PT,32.6667,-17.1,64.4,59,75,3.44,broken clouds
299,Melbourne,US,28.0836,-80.6081,73.4,38,1,12.66,clear sky
300,Beloha,MG,-25.1667,45.05,70.88,81,31,8.52,light rain
301,Sur,OM,22.5667,59.5289,85.68,46,0,8.77,clear sky
302,Norman Wells,CA,65.282,-126.8329,6.8,66,40,8.05,scattered clouds
303,Harper,LR,4.375,-7.7169,82.81,73,55,6.24,broken clouds
304,San Cristobal,VE,7.7669,-72.225,80.6,89,40,9.22,scattered clouds
305,Haines Junction,CA,60.7522,-137.5108,19.4,68,100,2.3,overcast clouds
306,Smithers,CA,54.7804,-127.1743,33.8,75,20,9.22,few clouds
307,Martapura,ID,-3.4167,114.85,77.0,94,20,2.71,few clouds
308,Korem,ET,12.5058,39.5228,60.12,58,10,6.55,clear sky
309,Nelson Bay,AU,-32.7167,152.15,69.01,94,99,10.2,overcast clouds
310,Gidole,ET,5.65,37.3667,61.56,63,69,5.14,broken clouds
311,Boa Vista,BR,2.8197,-60.6733,89.6,51,75,9.22,broken clouds
312,Sampaloc,PH,14.5402,121.3602,82.4,74,20,6.91,few clouds
313,Riachao Das Neves,BR,-11.7461,-44.91,93.04,34,68,7.87,broken clouds
314,Northam,GB,51.0333,-4.2167,54.0,79,26,7.0,scattered clouds
315,Hof,DE,50.3167,11.9167,46.99,49,20,10.36,few clouds
316,Okhotsk,RU,59.3833,143.3,18.55,97,100,2.71,overcast clouds
317,Camopi,GF,3.1655,-52.3158,79.12,93,100,4.0,light rain
318,Pitimbu,BR,-7.4706,-34.8086,86.0,74,75,8.05,broken clouds
319,Sinnamary,GF,5.3833,-52.95,79.75,85,100,10.07,overcast clouds
320,Ternate,ID,0.8,127.4,80.69,82,100,9.37,overcast clouds
321,Yazman,PK,29.1212,71.7446,89.24,7,64,9.24,broken clouds
322,Qui Nhon,VN,13.7667,109.2333,76.98,86,27,6.55,scattered clouds
