City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Carnarvon,AU,2021-04-03 02:42:18,-24.8667,113.6333,86.0,66,67,13.8
109,Innisfail,AU,2021-04-03 02:49:34,-17.5333,146.0333,75.18,87,99,8.79
110,Pevek,RU,2021-04-03 02:42:22,69.7008,170.3133,-3.64,85,13,4.0
111,New Norfolk,AU,2021-04-03 02:42:31,-42.7826,147.0587,88.0,14,0,8.01
112,Lompoc,US,2021-04-03 02:41:12,34.6391,-120.4579,53.6,82,1,9.22
113,Bredasdorp,ZA,2021-04-03 02:42:20,-34.5322,20.0403,46.4,93,98,3.44
114,Victoria,HK,2021-04-03 02:41:28,22.2855,114.1577,84.0,62,9,5.01
115,Ixtapa,MX,2021-04-03 02:44:03,20.7,-105.2,77.0,78,75,2.3
116,Sawtell,AU,2021-04-03 02:49:35,-30.3833,153.1,77.0,53,90,8.05
117,Pineville,US,2021-04-03 02:49:35,31.3224,-92.4343,53.6,40,1,4.61
118,Cosala,MX,2021-04-03 02:49:35,24.4125,-106.6908,72.0,76,92,0.96
119,Lexington,US,2021-04-03 02:45:12,37.9887,-84.4777,35.6,55,1,4.61
120,Gotsu,JP,2021-04-03 02:49:36,35.0,132.2167,73.4,49,75,13.8
121,Narsaq,GL,2021-04-03 02:42:46,60.9167,-46.05,35.6,87,90,2.3
122,Hermanus,ZA,2021-04-03 02:42:41,-34.4187,19.2345,60.01,74,96,4.0
123,Asau,RO,2021-04-03 02:49:36,46.4333,26.4,39.99,63,100,0.67
124,Chuy,UY,2021-04-03 02:42:28,-33.6971,-53.4616,62.19,85,2,5.77
125,Danville,US,2021-04-03 02:49:36,36.586,-79.395,34.0,60,1,6.22
126,Paamiut,GL,2021-04-03 02:43:23,61.994,-49.6678,24.31,95,100,14.27
127,Boddam,GB,2021-04-03 02:49:36,57.4667,-1.7833,43.0,81,40,9.22
128,Fairbanks,US,2021-04-03 02:40:43,64.8378,-147.7164,16.0,52,20,4.61
129,Beringovskiy,RU,2021-04-03 02:43:11,63.05,179.3167,9.05,84,100,12.73
130,Cape Town,ZA,2021-04-03 02:42:38,-33.9258,18.4232,59.0,88,0,1.14
